Titulo,Código,Autor,Assunto,Valor
"Parte da Tarde, A",503,Fernando Paixão,"Literatura brasileira, Poesia, Ilustrado","R$56,00"
Pas de Politique Mariô! Mario Pedrosa e a Política,504,Dainis Karepovs,"História, Política, Ilustrado","R$51,00"
Passos da Semiótica Tensiva,505,Luiz Tatit,"Semiótica, Linguística, Comunicação","R$45,00"
"Pastorinhas de Pirenópolis-GO, As",506,"Lênia Márcia Mongelli, Neide Rodrigues Gomes","Ilustrado, História, Religião, Teatro, Cultura","R$78,00"
Pétala de Lamparina,507,Ricardo Lima,"Literatura brasileira, Poesia","R$30,00"
Paulinho da Viola e o Elogio do Amor,508,Eliete Eça Negreiros,"Crítica musical, Música","R$48,00"
Pedras Pensadas,509,Adolfo Montejo Navas,"Poesia, Literatura estrangeira, Bilíngue, Aforismos","R$53,00"
Pedro Nava e a Construção do Texto,510,"Edina Panichi, Miguel Luiz Contani","Literatura brasileira, Crítica literária","R$48,00"
Pequeno Guia Histórico das Livrarias Brasileiras,511,Ubiratan Machado,"Livros sobre livros, Memória, Cultura, Livrarias, Ilustrado","R$53,00"
"Pequeno Livro do Cerrado, O",512,Gil Perini,"Literatura brasileira, Contos","R$34,00"
"Pequeno Pomo ou a História da Música do Pós-Modernismo, O",513,Boudewijn Buckinx,"Música, Crítica musical","R$38,00"
Percursos pela África e por Macau,514,Benilde Justo Caniato,"Crítica literária, Literatura africana","R$41,00"
"Perseu, Medusa & Camille Claudel - Sobre a Experiência de Captura Estética",515,Ada Morgenstern,"Arte, Psicanálise e Psicologia, Ilustrado","R$58,00"
Philobiblon ou O Amigo do Livro,516,Marcelo Castel Cid,"Idade média, Cultura medieval, Livros sobre livros, Bilíngue, Bibliofilia","R$53,00"
Pincelagens & Debuxos / Debuxos & Pincelagens,517,Hélio Cabral,"Arte, Ilustração e pintura, Humor","R$78,00"
Pintura como Modelo para uma Filosofia da Expressão,518,Ana Westphal,"Filosofia, Arte","R$39,00"
"Poema dos Lunáticos, O",519,Ermanno Cavazzoni,"Romance, Literatura estrangeira, Tradução","R$60,00"
"Poema, O: Leitores e Leituras",520,"Andrea Saad Hossne, Ivone Daré Rabello, Viviana Bosi, Cláudia Arruda Campos","Crítica literária, Literatura","R$38,00"
Poemas Reunidos,521,"Mario Higa, Cesário Verde","Poesia, Literatura portuguesa","R$40,00"
"Poesia como Pintura, A - A Ekphrasis em Albano Martins",522,Álvaro Cardoso Gomes,"Arte, Crítica literária, Poesia, Literatura portuguesa, Estudos Literários","R$42,00"
Poesia É Criação: Uma Antologia,523,José de Almada Negreiros,"Ilustrado, Poesia, Literatura estrangeira, Teoria literária, Literatura portuguesa, Teatro","R$63,00"
Poesia Pois É Poesia,524,Décio Pignatari,"Literatura brasileira, Poesia, Poesia concreta, Ilustrado","R$96,00"
Poesia Vista,525,Joan Brossa,"Poesia, Literatura estrangeira, Bilíngue, Ilustrado","R$62,00"
Poesias,526,Segismundo Spina,"Literatura brasileira, Poesia","R$38,00"
"Poetas Românticos, Críticos e Outros Loucos",527,Charles Rosen,"Tradução, Crítica literária, Literatura","R$59,00"
Política Cultural e Economia da Cultura,528,José Carlos Durand,"Política, Economia, Cultura","R$45,00"
Pontuação Circense,529,Ésio Macedo,"Literatura brasileira, Poesia","R$32,00"
Por Minha Letra e Sinal - Documentos do Ouro do Século XVII,530,"Heitor Megale, Sílvio de Almeida Toledo Neto","Idade média, Paleografia, História, Livros sobre livros, Linguística","R$86,00"
Por uma Nova Política - Uma Campanha na SBPC,531,Renato Janine Ribeiro,"Política, Sociologia e Sociedade","R$42,00"
Porta-retratos,532,Marise Hansen,"Literatura brasileira, Poesia","R$50,00"
Portanto... Pepetela,533,"Rita Chaves, Tania Macêdo","Crítica literária, Literatura africana","R$54,00"
"Portas do Sonho, As",534,Adélia Bezerra de Meneses,"Mitologia, Psicanálise e Psicologia, Cultura, Ilustrado","R$65,00"
Portos Flutuantes - Trânsitos Ibero-afro-americanos,535,"Benjamin Abdala Jr., Marli Fantini Scarpelli","Literatura brasileira, Crítica literária, Literatura portuguesa, Literatura africana","R$58,00"
Porvir que Vem Antes de Tudo - Literatura e Cinema em Lavoura Arcaica,536,Renato Tardivo,"Crítica literária, Psicanálise e Psicologia, Cinema","R$36,00"
Prelúdio da Metrópole - Arquitetura e Urbanismo em São Paulo na Passagem do Século XIX ao XX,537,Hugo Segawa,"Arquitetura, Urbanismo, Patrimônio Histórico, Ilustrado","R$82,00"
Prenúncios e Vestígios,538,Edward Lopes,"Literatura brasileira, Crítica literária","R$75,00"
Preservação do Patrimônio Arquitetônico da Industrialização,539,Beatriz Mugayar Kühl,"Arquitetura, Restauração, Patrimônio Histórico, Ilustrado","R$92,00"
Primeiras Palavras,540,Douglas Messerli,"Poesia, Literatura estrangeira, Bilíngue","R$28,00"
"Primórdios da Cerveja no Brasil, Os",541,Sérgio de Paula Santos,"Gastronomia, História","R$26,00"
"Primo Basílio, O",542,"Paulo Franchetti, Eça de Queirós","Romance, Literatura portuguesa, Ilustrado","R$44,50"
"Privilégios, Os",543,"Jerusa Pires Ferreira, Stendhal","Literatura estrangeira, Contos, Tradução","R$25,00"
"Processos de Criação em À Sombra das Raparigas em Flor, Os",544,Philippe Willemart,"Crítica literária, Literatura, Psicanálise e Psicologia, Teoria literária","R$48,00"
Produção Gráfica para Designers,545,Mark Gatter,"Ilustrado, Livros sobre livros, Artes gráficas","R$148,00"
"Professor Riobaldo, O - Um Novo Místico da Poetagem",546,Héctor Olea,"Literatura brasileira, Crítica literária","R$48,00"
"Proust, Poeta e Psicanalista",547,Philippe Willemart,"Crítica literária, Literatura estrangeira, Psicanálise e Psicologia","R$52,00"
Psicolirismo da Terapia Cotidiana,548,Rita Moutinho,Poesia,"R$51,00"
Quadragésimo,549,Horácio Costa,"Literatura brasileira, Poesia","R$48,00"
"Quase Fim de Serapião Filogônio, O",550,Jonas Rosa,"Literatura brasileira, Romance","R$36,00"
Quase Tudo,551,Ecos Falsos,"Música, Biografia","R$30,00"
Quatro Ensaios sobre OSCAR NIEMEYER,552,"Ingrid Quintana Guerrero, Paulo Bruna","Arquitetura, Restauração, Ilustrado, Urbanismo","R$58,00"
"Queda do Muro de Berlim e a Presentificação da História, A",553,Flávia Bancher,"Política, História, Sociologia e Sociedade, Ilustrado","R$41,00"
"Questão da Ideologia no Círculo de Bakhtin, A",554,Luiz Rosalvo Costa,"Comunicação, Filosofia, Ilustrado, Linguística","R$58,00"
Quincas Borba,555,"Machado de Assis, Jean Pierre Chauvin","Ilustrado, Romance, Literatura brasileira","R$42,00"
Rabelais e Joyce - Três Leituras Menipeias,556,Élide Valarini Oliver,"Crítica literária, Literatura estrangeira","R$42,00"
Rapid Departures,557,Vincent Katz,"Tipografia, Poesia, Literatura estrangeira, Bilíngue, Ilustrado, Tradução","R$58,00"
Réu Confesso - Poemas Reunidos (1968-2010),558,Luiz Meyer,"Literatura brasileira, Poesia","R$44,00"
Realidade & Ilusão em Machado de Assis,559,José Aderaldo Castello,"Literatura brasileira, Crítica literária","R$45,00"
Realidade Possível: Dilemas da Ficção em Henry James e Machado de Assis,560,Marcelo Pen Parreira,Crítica literária,"R$51,00"
Realidades e Ficções na Trama Fotográfica - 5ª Edição,561,Boris Kossoy,"Fotografia, História","R$45,00"
Refluxos,562,Edson Valente,"Literatura brasileira, Contos","R$28,00"
"Relíquia, A",563,"Fernando Marcílio L. Couto, Eça de Queirós","Romance, Literatura portuguesa, Ilustrado","R$41,00"
Remorso do Cosmos,564,Régis Bonvicino,"Literatura brasileira, Poesia","R$43,00"
René Thiollier - Obra e Vida do Grão-Senhor da Villa Fortunata e da Academia Paulista de Letras,565,Valter Cesar Pinheiro,"Biografia, Crítica literária, Ilustrado, Literatura brasileira","R$54,00"
Repensando a Educação,566,Geraldina Porto Witter,Educação e Pedagogia,"R$29,00"
Repensando o Partido Verde Brasileiro,567,Tibor Rabóczkay,Política,"R$44,00"
República das Bicicletas,568,Moacyr Godoy Moreira,"Literatura brasileira, Crônicas","R$50,00"
Resíduos,569,David Oscar Vaz,"Literatura brasileira, Contos","R$35,00"
Resíduos Ensaísticos de uma Pós-Graduação,570,Segismundo Spina,"Crítica literária, Teoria literária, Linguística","R$28,00"
Resposta,571,Elisa Nazarian,"Literatura brasileira, Poesia","R$48,00"
Restauração,572,E. E. Viollet-le-Duc,"Arquitetura, Restauração","R$35,00"
"Restauradores, Os",573,Camillo Boito,"Arquitetura, Restauração","R$34,00"
Resumo do Dia,574,Heitor Ferraz,"Literatura brasileira, Poesia","R$26,00"
"Retorno de Bennu, O",575,Majela Colares,"Literatura brasileira, Poesia","R$43,00"
Retrato do Brasil em Cordel,576,Mark Curran,"Livros sobre livros, Ilustrado, Literatura brasileira, Cultura, Cordel","R$98,00"
Revista de Estudos Orientais n° 4,577,Depto. Letras Orientais USP,Literatura estrangeira,"R$58,00"
Revistas Científicas - Dos Processos Tradicionais às Perspectivas Alternativas de Comunicação,578,"Geraldina Porto Witter, Dinah Aguiar Población, Lúcia Maria Costa Ramos, Vânia de Oliveira Funaro","Comunicação, Produção acadêmica","R$44,00"
Revistas na Era Pós-Verso,579,Omar Khouri,"Crítica literária, Editoração, Poesia concreta, Ilustrado","R$38,00"
"Rio na Parede, O",580,Gil Felippe,"Literatura brasileira, Contos","R$32,00"
Romance de Formação em Perspectiva Histórica - O Tambor de Lata de Günter Grass,581,Marcus Vinicius Mazzari,"Crítica literária, Literatura estrangeira","R$46,00"
Rosa Luxemburgo: Crise e Revolução,582,Rosa Rosa Gomes,"Política, História","R$63,00"
"Rosto da Memória, O",583,Décio Pignatari,"Literatura brasileira, Contos","R$42,00"
Roteiro para um Narrador - Uma Leitura dos Contos de Rubem Fonseca,584,Ariovaldo José Vidal,"Literatura brasileira, Crítica literária","R$44,00"
Rousseau e as Artes,585,"Paulo Mugayar Kühl, Célia Gambini","Arte, Filosofia","R$45,00"
Ruídos Urbanos,586,Moacyr Godoy Moreira,"Literatura brasileira, Contos, Ilustrado","R$38,00"
Rudimentos da Vida Coletiva,587,Alcir Pécora,"Literatura brasileira, Romance","R$34,00"
Rumo à Vertigem ou A Arte de Naufragar-se,588,Wassily Chuck,"Literatura brasileira, Poesia, Ilustrado","R$58,00"
Rupturas - Poemas em Busca de um Eixo,589,Ana Maria Amaral,"Literatura brasileira, Poesia, Ilustrado","R$33,00"
"Sabedoria do Bibliotecário, A",590,Michel Melot,"Livros sobre livros, Biblioteconomia","R$36,00"
Salvações no Nordeste - Política e Participação Popular,591,Flávia Borges Pereira,"Política, História, Sociologia e Sociedade, Cordel","R$46,00"
"Sangue dos Dias Transparentes, O",592,Paulo Franchetti,"Literatura brasileira, Contos","R$36,00"
"Sátira e o Engenho, A - Gregório de Matos e a Bahia do Século XVII",593,João Adolfo Hansen,"Literatura brasileira, Crítica literária","R$79,50"
Sementes Aladas,594,Percy Bysshe Shelley,"Poesia, Literatura estrangeira, Bilíngue, Tradução","R$56,00"
Semiótica & Literatura (8a. ed.),595,Décio Pignatari,"Comunicação, Cultura, Literatura, Semiótica","R$46,00"
Semiótica da Arte e da Arquitetura,596,Décio Pignatari,"Arte, Semiótica, Arquitetura, Ilustrado","R$41,00"
Semiótica à Luz de Guimarães Rosa,597,Luiz Tatit,"Literatura brasileira, Crítica literária, Semiótica","R$48,00"
Serafim Ponte Grande e as Dificuldades da Crítica Literária,598,Pascoal Farinaccio,"Literatura brasileira, Crítica literária","R$52,00"
"Sertões, Os - Campanha de Canudos",599,"Leopoldo Bernucci, Euclides da Cunha","Literatura brasileira, Romance, Ilustrado","R$120,00"
Só (seguido de Despedidas),600,"Annie Gisele Fernandes, Hélder Garmes, Antônio Nobre","Poesia, Literatura portuguesa, Ilustrado","R$42,00"
Sôbô - Uma Saga da Imigração Japonesa (2a. ed.),601,Tatsuzô Ishikawa,"Memória, Romance, Literatura estrangeira, Ilustrado, Tradução","R$48,00"
Signos (em) Cena - Poemas | Ensaios,602,Aguinaldo Gonçalves,"Arte, Literatura brasileira, Poesia, Ilustrado","R$78,00"
Silêncios de Água e Pedra,603,Wassily Chuck,"Literatura brasileira, Poesia","R$46,00"
Silêncios no Escuro,604,Maria Viana,"Contos, Literatura brasileira","R$38,00"
"Simbolismo dos Padrões Geométricos da Arte Islâmica, O",605,Sylvia Leite,"Arte, Religião, Cultura islâmica, Ilustrado, Cultura árabe","R$53,00"
Sinais das Ideias,606,Moacir Ferreira de Oliveira,"Literatura brasileira, Poesia","R$45,00"
Soalho de Tábua,607,Moacyr Godoy Moreira,"Literatura brasileira, Contos, Ilustrado","R$35,00"
Sobre o Filme Lavour'Arcaica,608,Luiz Fernando Carvalho,"Cinema, Entrevistas, Ilustrado","R$48,00"
Sociologia Brasileira Hoje,609,"Carlos Benedito Martins, Sergio Miceli","Cidadania, Economia, Ilustrado, Política, Sociologia e Sociedade","R$68,00"
Sociologia Brasileira Hoje II,610,"Sergio Miceli, Carlos Benedito Martins","Economia, Sociologia e Sociedade, Política","R$60,00"
Sociologia da Leitura,611,"Mauro Gama, Chantal Horellou-Lafarge, Monique Segré","Tradução, Sociologia e Sociedade, Literatura, Cultura, Livrarias","R$48,00"
Sofia - Uma Ventania para Dentro / Sofia - Una Brisa para Dentro,612,Sidney Rocha,"Literatura brasileira, Romance, Bilíngue","R$43,00"
Sombras da Percepção,613,"Geoffrey Lynn, Aurora Fornoni Bernardini","Poesia, Literatura estrangeira, Bilíngue","R$38,00"
Sombras e Distâncias,614,Egberto Penido,"Literatura brasileira, Poesia, Ilustrado","R$28,00"
Somente nos Cinemas,615,Jorge Ialanji Filholini,"Literatura brasileira, Contos","R$42,00"
Sondas,616,José de Paula Ramos Jr.,"Literatura brasileira, Poesia","R$42,00"
Sonetos de Camões,617,"Carlos Cortez Minchillo, Izeti Fragata Torralvo, Luís de Camões","Poesia, Literatura portuguesa, Ilustrado","R$35,00"
Sudário,618,Guiomar de Grammont,"Literatura brasileira, Contos","R$48,00"
São Paulo: Trânsitos,619,Vincenzo Scarpellini,"Arte, Ilustração e pintura","R$26,00"
São Paulo: Vidas,620,Vincenzo Scarpellini,"Arte, Ilustração e pintura","R$26,00"
"Teatro da Memória de Giulio Camillo, O",621,Milton José de Almeida,"Arte, Teatro, Filosofia, Ilustrado","R$72,00"
Teatro de Animação,622,Ana Maria Amaral,"Teatro, Ilustrado","R$38,00"
Teatro Russo - Literatura e Espetáculo,623,"Arlete Cavalieri, Elena Vássina","Ilustrado, Crítica literária, Literatura estrangeira, Teatro","R$89,00"
Tempo Solto,624,Amálio Pinheiro,"Literatura brasileira, Poesia","R$42,00"
"Tempo Vivo da Memória, O - Ensaios de Psicologia Social",625,Ecléa Bosi,"Memória, Psicanálise e Psicologia, Sociologia e Sociedade","R$62,00"
"Tempos da Fotografia, Os - O Efêmero e o Perpétuo",626,Boris Kossoy,"História, Fotografia, Ilustrado","R$55,00"
Teoria da Poesia Concreta - Textos Críticos e Manifestos (1950-1960),627,"Décio Pignatari, Augusto de Campos, Haroldo de Campos","Literatura brasileira, Poesia, Teoria literária, Poesia concreta","R$68,00"
Teoria da Restauração,628,Cesare Brandi,"Arquitetura, Restauração","R$62,00"
Teorias da Comunicação: Muitas ou Poucas?,629,"Luiz C. Martino, Charles R. Berger, Robert T. Craig",Comunicação,"R$28,00"
"Terceiro Livro dos Fatos e Ditos Heroicos do Bom Pantagruel, O",630,François Rabelais,"Romance, Literatura estrangeira, Ilustrado, Tradução","R$120,00"
Terceiro Tempo,631,Décio Pignatari,"Literatura brasileira, Crônicas, História","R$38,00"
Território de Epidauro,632,Pedro Nava,"Memória, Medicina e Saúde","R$58,00"
Til - Romance Brasileiro,633,"Ivan Teixeira, José de Alencar","Literatura brasileira, Romance, Ilustrado","R$41,00"
Timbre,634,Virgílio Maia,"Literatura brasileira, Poesia","R$35,00"
Tirant lo Blanc,635,Joanot Martorell,"Romance, Ilustrado, Idade média, Literatura medieval, Cultura medieval","R$120,00"
"Todos Entoam - Ensaios, Conversas e Lembranças",636,Luiz Tatit,"Música, Biografia","R$68,00"
Together 1996,637,Régis Bonvicino,"Literatura brasileira, Poesia","R$28,00"
"Tolerância e o Intempestivo, A",638,Edson Passetti,"Política, Sociologia e Sociedade, Religião, Filosofia","R$48,00"
Túnel do Tempo,639,José Sebastião Witter,"Memória, Literatura brasileira, Jornalismo","R$38,00"
Traduzir o Poema,640,Álvaro Faleiros,"Tradução, Teoria literária","R$48,00"
Tragédia Grega - O Mito em Cena,641,Daisi Malhadas,"Mitologia, Teatro","R$38,00"
Trajetória de Paulo Emilio,642,Adilson Mendes,"Cinema, Cultura","R$52,00"
Trajetória em Noite Escura,643,Naoya Shiga,"Romance, Literatura estrangeira, Tradução","R$62,00"
Transliteração do Hebraico para Leitores Brasileiros,644,Saul Kirschbaum,"Tradução, Editoração, Hebraico","R$18,00"
"Transmutação Metalinguística na Poética de Edgard Braga, A",645,Beatriz Helena Ramos Amaral,"Literatura brasileira, Crítica literária, Poesia","R$46,00"
Transverso,646,Marcos Pamplona,Poesia,"R$44,90"
Três Vezes Machado de Assis,647,Ubiratan Machado,"Memória, Literatura brasileira, Crítica literária","R$28,00"
Travessias - D. João VI e o Mundo Lusófono,648,Paulo Motta Oliveira,"Crítica literária, Literatura portuguesa, História","R$67,00"
"Trágica História do Dr. Fausto, A",649,"Christopher Marlowe, Luís Bueno","Teatro, Literatura clássica, Bilíngue","R$128,00"
Tripé,650,Rodrigo Lacerda,"Literatura brasileira, Contos","R$46,00"
Triste Fim de Policarpo Quaresma,651,"Gustavo Martins, Lima Barreto, Ivan Teixeira","Literatura brasileira, Romance, Ilustrado","R$38,00"
Tropicália: Alegoria Alegria,652,Celso Favaretto,"Música, Crítica musical","R$53,00"
TV Digital.Br: Conceitos e Estudos sobre o ISDB-Tb,653,"S. Squirra, Valdecir Becker","Comunicação, Televisão, Ilustrado","R$48,00"
Um Amor Literário,654,Letícia Malard,"Literatura brasileira, Romance","R$38,00"
Um Canto,655,Cacá Moreira de Souza,"Literatura brasileira, Poesia","R$52,00"
Um Lance de Dados,656,"Álvaro Faleiros, Stéphane Mallarmé","Poesia, Literatura estrangeira, Bilíngue, Tradução","R$52,00"
Uma Lua em Paris,657,M. A. Amaral Rezende,"Ilustrado, Literatura brasileira, Romance","R$38,00"
"Urna, A",658,David Oscar Vaz,"Literatura brasileira, Contos","R$38,00"
Vanguardas: Brasil & Itália,659,Lúcia Wataghin,"Crítica literária, Arquitetura, Cultura","R$54,00"
Várias Histórias,660,"José de Paula Ramos Jr., Machado de Assis","Literatura brasileira, Contos, Ilustrado","R$38,00"
Velho é o Espelho,661,Maria de Lourdes Ferreira Alves,"Literatura brasileira, Poesia","R$46,00"
"Velho Chico ou A Vida é Amável, O",662,Dirce de Assis Cavalcanti,Memória,"R$48,00"
Velhos Amigos,663,Ecléa Bosi,"Literatura brasileira, Memória, Contos, Crônicas, Ilustrado","R$43,00"
Vermelho,664,Aguinaldo Gonçalves,"Ilustrado, Literatura brasileira, Poesia","R$56,00"
Viagem a um Deserto Interior,665,Leila Guenther,"Literatura brasileira, Poesia, Ilustrado","R$42,00"
"Viagem ao Egito, Jordânia e Israel",666,Pedro Nava,"Memória, Literatura brasileira, Ilustrado","R$28,00"
Viagem de Joseph Língua,667,Pedro Américo de Farias,"Literatura brasileira, Romance","R$27,00"
Viagem Magnética,668,Décio Pignatari,"Literatura brasileira, Teatro","R$32,00"
Viagens na Minha Terra,669,"Ivan Teixeira, Almeida Garrett","Romance, Literatura portuguesa, Ilustrado","R$38,00"
Vida e Morte de M. J. Gonzaga de Sá,670,"Marcos Scheffel, Lima Barreto","Ilustrado, Literatura brasileira, Romance","R$41,00"
Vidas de Dante - Escritos Biográficos dos Séculos XIV e XV,671,Eduardo Henrik Aubert,"Biografia, História","R$40,50"
Vitrola dos Ausentes,672,Paulo Ribeiro,"Literatura brasileira, Romance","R$36,00"
Viva Vaia - Poesia 1949-1979,673,Augusto de Campos,"Literatura brasileira, Poesia, Poesia concreta, Ilustrado","R$160,00"
Vocabulário Português-Nheengatu - Nheengatu-Português,674,E. Stradelli,"Dicionário, Linguística","R$83,00"
"Voo Noturno das Galinhas, O",675,Leila Guenther,"Literatura brasileira, Contos","R$38,00"
"Voz e o Tempo, A - Reflexões para Jovens Terapeutas",676,Roberto Gambini,"Psicanálise e Psicologia, Ilustrado","R$68,00"
"Voz na Canção Popular Brasileira, A - Um Estudo sobre a Vanguarda Paulista",677,Regina Machado,"Música, Crítica musical","R$31,00"
"Voz que Canta na Voz que Fala, A - Poética e Política na Trajetória de Gilberto Gil",678,Pedro Henrique Varoni de Carvalho,"Música, Crítica musical","R$62,00"
Vão-se os Dias e Eu Fico,679,Edson Nery da Fonseca,"Memória, Biblioteconomia, Ilustrado","R$39,00"
William Morris - Sobre as Artes do Livro,680,"William Morris, Gustavo Piqueira","Editoração, Livros sobre livros, Ilustrado, Design, Artes gráficas","R$160,00"
Wright  Artigas - Duas Viagens,681,Adriana Irigoyen,"Arquitetura, Ilustrado","R$78,00"
Yaser,682,Eda Nagayama,"Romance, Ilustrado, Bilíngue, Literatura, Política","R$45,00"
Zé Ferino,683,Rodrigo Penteado,"Literatura brasileira, Romance, Ilustrado","R$34,00"
